"lake","year","ba","type","size","times_treat","type_times_treat","period","event","site","tl","tlgroup","count","date","size_class"
"ae1","2017","before","control",1.6,"0","control","before",2,3,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,3,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,4,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,4,NA,"25",12,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,4,NA,"50",8,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,4,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,4,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,4,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,5,NA,"0",10,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,5,NA,"25",10,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,5,NA,"50",7,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,5,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,5,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,5,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,6,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,6,NA,"25",14,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,6,NA,"50",1,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,6,NA,"75",1,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,6,NA,"100",2,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,6,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,7,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,7,NA,"25",13,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,7,NA,"50",1,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,7,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,7,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,7,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,8,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,8,NA,"25",20,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,8,NA,"50",4,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,8,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,8,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,8,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,9,NA,"0",1,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,9,NA,"25",4,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,9,NA,"50",1,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,9,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,9,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,9,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,10,NA,"0",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,10,NA,"25",20,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,10,NA,"50",1,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,10,NA,"75",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,10,NA,"100",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,10,NA,"125",0,"6/15","small"
"ae1","2017","before","control",1.6,"0","control","before",2,11,NA,"0",0,"6/15","small"
